practice_code,gpps_overall_pct,gpps_contact_pct,gpps_responses
A84002,93.1,94.0,64
A84005,90.5,84.9,120
A84006,85.8,72.9,177
A84007,80.3,64.1,92
A84008,92.4,92.7,47
A84009,70.9,59.5,196
A84011,85.4,82.1,76
A84013,77.2,81.3,51
A84014,83.0,76.3,118
A84016,91.0,83.4,65
A84018,94.6,96.3,75
A84020,76.4,71.1,65
A84022,62.6,55.0,83
A84024,88.6,86.5,99
A84025,91.4,89.0,53
A84026,83.2,73.2,83
A84027,90.1,95.5,33
A84028,77.8,72.5,161
A84029,82.5,81.4,41
A84030,93.3,88.8,113
A84031,97.5,88.9,114
A84033,93.0,98.4,58
A84034,92.9,80.9,56
A84035,92.7,97.5,59
A84036,73.6,60.4,374
A84037,91.8,90.4,59
A84038,89.3,92.7,85
A84039,85.6,85.3,66
A84040,94.0,94.9,35
A84042,94.3,92.6,23
A84044,47.7,45.4,36
A84045,91.2,89.3,52
A84047,92.8,88.3,54
A84604,96.3,92.4,52
A84614,93.7,98.4,22
A84619,86.4,78.0,39
A88001,87.2,72.4,32
A88002,78.1,70.8,135
A88003,89.9,85.9,215
A88004,82.9,78.3,77
A88005,73.8,77.6,33
A88006,85.0,81.8,69
A88008,79.4,75.5,54
A88009,75.2,79.3,47
A88010,88.2,79.3,32
A88012,61.6,70.8,38
A88013,72.1,70.4,140
A88014,76.9,65.1,24
A88015,82.2,77.0,63
A88016,91.2,81.8,79
A88022,74.9,71.4,83
A88023,56.9,58.0,32
A88025,79.0,75.8,37
A88601,88.8,95.7,41
A88608,85.9,83.8,53
A88613,79.0,67.1,34
A89001,68.4,61.1,95
A89002,83.1,85.3,62
A89004,85.4,78.4,105
A89005,94.7,90.4,57
A89006,83.1,75.9,67
A89007,79.4,75.2,84
A89008,58.1,52.8,32
A89009,88.0,85.9,87
A89010,84.5,76.1,109
A89011,92.2,82.2,45
A89012,78.0,77.7,93
A89013,80.6,90.4,50
A89015,89.4,86.2,90
A89016,79.1,71.6,80
A89017,81.6,69.9,123
A89018,85.5,87.4,48
A89019,71.9,67.5,108
A89020,82.4,81.4,76
A89021,85.6,77.4,75
A89022,73.2,72.1,40
A89023,89.3,87.6,77
A89024,86.3,90.9,70
A89025,79.8,65.3,81
A89026,69.6,63.7,53
A89027,92.7,80.3,60
A89028,84.9,78.2,67
A89030,84.9,88.2,59
A89031,95.4,91.3,72
A89032,77.6,66.4,75
A89034,75.4,82.4,34
A89035,96.4,93.5,101
A89036,82.2,70.7,18
A89040,79.8,79.8,40
A89041,87.5,88.1,71
A89614,65.9,65.4,31
A89616,93.9,91.8,28
A89617,80.4,89.6,31
A89623,90.3,86.5,28
Y01262,,,-97
P81005,71.7,59.8,87
P81022,90.6,82.6,102
P81051,89.1,86.1,134
P81058,75.4,78.3,75
P81061,82.8,84.0,38
P81125,83.8,79.4,85
P81140,79.1,75.7,126
P81155,75.3,70.6,45
P81167,65.3,60.5,36
P81214,79.2,73.4,36
P81622,65.0,60.4,71
P81633,87.0,88.8,35
P81683,62.9,58.7,46
P81694,58.0,55.9,30
P81704,69.7,67.1,75
P81707,72.8,70.8,37
P81709,84.0,86.9,47
P81721,90.3,90.4,23
P81724,76.0,68.7,20
P81734,78.4,59.2,147
P81771,54.4,58.2,51
Y02657,73.0,65.4,57
P81016,76.6,70.2,96
P81042,60.9,60.0,93
P81043,84.4,84.7,59
P81054,71.0,66.9,69
P81063,54.8,48.5,64
P81066,73.2,71.0,60
P81072,66.5,61.2,98
P81073,79.4,82.0,114
P81074,75.7,74.6,108
P81081,89.8,87.1,58
P81092,86.7,85.8,74
P81115,74.3,65.6,126
P81159,81.0,73.0,104
P81172,80.5,76.2,100
P81681,76.8,73.4,109
P81714,86.2,86.0,52
Y05788,28.9,29.9,2
P82001,82.9,75.8,85
P82002,87.0,81.6,64
P82003,70.8,74.0,111
P82004,81.0,80.3,76
P82005,77.1,66.3,57
P82006,89.0,87.0,96
P82007,78.3,77.7,105
P82008,73.7,75.3,106
P82009,87.3,90.3,66
P82010,77.8,73.0,60
P82011,88.5,85.4,63
P82012,81.4,77.6,54
P82013,81.1,79.0,30
P82014,81.5,79.1,55
P82015,70.5,62.4,148
P82016,72.2,73.9,91
P82018,67.0,58.8,48
P82020,84.7,79.3,39
P82021,70.1,67.5,49
P82022,84.8,85.1,45
P82023,79.2,77.0,73
P82025,86.5,86.8,39
P82029,87.1,92.7,31
P82030,78.5,78.9,30
P82031,79.1,75.8,85
P82033,89.2,95.9,18
P82034,95.5,93.0,40
P82036,73.6,72.2,22
P82037,72.2,78.0,34
P82607,98.1,92.5,58
P82609,68.6,66.2,39
P82613,78.4,71.2,40
P82616,69.3,67.1,24
P82624,85.9,84.5,29
P82625,71.8,65.6,15
P82626,81.0,82.7,40
P82627,86.3,76.6,36
P82629,93.0,95.6,19
P82633,71.6,74.3,17
P82634,74.6,73.4,29
P82640,61.4,55.0,30
P82643,92.1,85.1,70
P82652,88.7,79.2,37
P82660,61.1,62.1,21
Y00186,65.8,76.1,10
Y02319,78.2,76.7,55
Y02790,81.2,86.5,54
